Word count:
a 12
ability 2
about 2
adapt 2
advice 4
alain 2
alexander 2
all 2
allow 2
already 2
always 2
and 40
another 2
answer 2
anyone 2
anything 2
appreciates 2
are 14
as 4
ask 4
at 12
barry 2
be 16
bearers 2
beauty 2
because 12
become 2
been 2
began 2
behavior 2
believe 4
bell 2
better 2
big 2
biology 2
bit 2
blood 2
botton 2
boys 2
bren 2
bright 4
brightest 2
brown 2
but 8
buy 4
call 2
can 4
change 2
chemistry 4
choose 2
christakis 2
closed 2
closes 2
come 2
complex 2
concentrate 2
critically 2
curious 2
dance 2
data 2
de 2
define 2
did 6
didnt 2
difficult 2
digital 2
disability 2
disabled 4
discovery 2
do 16
does 2
doesnt 2
doing 2
dont 12
door 4
down 2
dr 2
ebert 2
elaborate 2
else 2
equations 2
erica 2
every 4
everyone 2
everything 4
exist 2
expectations 4
far 2
father 2
feel 2
feet 2
find 2
flatter 2
for 12
funny 2
g 2
get 2
goth 2
graham 2
had 2
happiness 2
has 4
have 6
he 2
hes 2
hire 4
holler 2
how 2
however 2
human 4
hurt 2
i 10
if 10
im 6
in 8
intelligence 2
interferes 2
into 2
intricate 2
is 12
it 10
job 2
jobs 2
jong 2
just 4
ken 2
know 2
knowledge 4
least 2
leighton 2
less 2
life 4
like 6
limited 2
long 2
look 8
love 2
low 2
made 2
majority 2
make 6
makes 4
many 2
mark 2
math 4
mathematicians 2
mathematics 2
matter 4
may 4
maybe 2
me 2
meeting 2
mind 4
money 4
moon 4
more 2
much 2
must 2
my 8
need 4
networks 2
never 4
nicholas 2
no 6
not 14
of 16
often 4
on 4
one 12
ones 2
opened 2
opens 2
original 2
other 4
our 2
out 4
particularly 2
pause 2
people 10
peoples 2
perceptions 2
perspective 2
physically 2
physics 8
pick 2
predicting 2
prepared 2
prevent 2
problems 2
purpose 2
quest 2
randall 2
really 4
reduced 2
reflect 2
regier 2
regret 2
regretfully 2
revolution 2
robinson 2
roger 2
rush 2
satir 2
say 2
school 2
schwartz 2
scientists 2
scream 2
secret 2
see 4
seem 2
sense 2
serve 2
sets 2
seuss 2
should 2
shout 4
side 2
simon 4
sinek 4
small 2
so 12
social 2
solve 2
something 2
soul 2
spirit 2
stars 2
stories 2
succeed 2
superhero 2
superman 2
sweat 2
tears 2
tell 2
than 2
that 8
the 42
there 6
these 2
they 8
theyll 4
theyre 2
things 8
think 2
those 4
thought 2
tick 2
time 2
to 30
too 2
torch 2
tragic 2
try 2
twain 2
ubiquitous 2
understanding 2
universe 4
up 4
upon 2
us 6
use 2
virginia 2
voice 2
wanted 2
watching 2
we 14
well 4
werent 2
what 18
when 8
whenever 2
while 2
who 12
why 2
willis 2
wish 2
with 8
women 2
wonder 2
work 6
would 8
wrong 2
you 30
youll 2
your 6
youre 2
yourself 4
youve 2
zero 2
